7817, com.fasterxml.jackson.core.json.ByteSourceJsonBootstrapper, com.fasterxml.jackson.core.JsonParser constructParser(int;com.fasterxml.jackson.core.ObjectCodec;com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer;com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer;int)_0, stack29_{7817} = Func_24_7817({this.<com.fasterxml.jackson.core.json.ByteSourceJsonBootstrapper: int _inputPtr>_{7508}})
7873, com.fasterxml.jackson.core.json.UTF8StreamJsonParser, void <init>(com.fasterxml.jackson.core.io.IOContext;int;java.io.InputStream;com.fasterxml.jackson.core.ObjectCodec;com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer;byte[];int;int;int;boolean)_0, this.<com.fasterxml.jackson.core.json.UTF8StreamJsonParser: com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer _symbols>_{7873} = Func_24_7873({stack2_{7734}})
7874, com.fasterxml.jackson.core.json.UTF8StreamJsonParser, void <init>(com.fasterxml.jackson.core.io.IOContext;int;java.io.InputStream;com.fasterxml.jackson.core.ObjectCodec;com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer;byte[];int;int;int;boolean)_0, this.<com.fasterxml.jackson.core.json.UTF8StreamJsonParser: byte[] _inputBuffer>_{7874} = Func_24_7874({this.<com.fasterxml.jackson.core.json.ByteSourceJsonBootstrapper: byte[] _inputBuffer>_{7507}})
7877, com.fasterxml.jackson.core.json.UTF8StreamJsonParser, void <init>(com.fasterxml.jackson.core.io.IOContext;int;java.io.InputStream;com.fasterxml.jackson.core.ObjectCodec;com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer;byte[];int;int;int;boolean)_0, $stack12 = start - bytesPreProcessed
7878, com.fasterxml.jackson.core.json.UTF8StreamJsonParser, void <init>(com.fasterxml.jackson.core.io.IOContext;int;java.io.InputStream;com.fasterxml.jackson.core.ObjectCodec;com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer;byte[];int;int;int;boolean)_0, this.<com.fasterxml.jackson.core.json.UTF8StreamJsonParser: int _currInputRowStart> = $stack12
7879, com.fasterxml.jackson.core.json.UTF8StreamJsonParser, void <init>(com.fasterxml.jackson.core.io.IOContext;int;java.io.InputStream;com.fasterxml.jackson.core.ObjectCodec;com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer;byte[];int;int;int;boolean)_0, $stack13 = neg start
7880, com.fasterxml.jackson.core.json.UTF8StreamJsonParser, void <init>(com.fasterxml.jackson.core.io.IOContext;int;java.io.InputStream;com.fasterxml.jackson.core.ObjectCodec;com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer;byte[];int;int;int;boolean)_0, $stack14 = $stack13 + bytesPreProcessed
7881, com.fasterxml.jackson.core.json.UTF8StreamJsonParser, void <init>(com.fasterxml.jackson.core.io.IOContext;int;java.io.InputStream;com.fasterxml.jackson.core.ObjectCodec;com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer;byte[];int;int;int;boolean)_0, $stack15 = (long) $stack14
7882, com.fasterxml.jackson.core.json.UTF8StreamJsonParser, void <init>(com.fasterxml.jackson.core.io.IOContext;int;java.io.InputStream;com.fasterxml.jackson.core.ObjectCodec;com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer;byte[];int;int;int;boolean)_0, this.<com.fasterxml.jackson.core.json.UTF8StreamJsonParser: long _currInputProcessed> = $stack15
8878, com.fasterxml.jackson.core.util.BufferRecycler, char[] allocCharBuffer(int;int)_0, minSize_{8878} = Func_25_8878({<com.fasterxml.jackson.core.util.BufferRecycler: int[] CHAR_BUFFER_LENGTHS>_{7441}})
8879, com.fasterxml.jackson.core.util.BufferRecycler, char[] allocCharBuffer(int;int)_0, $stack6 = this.<com.fasterxml.jackson.core.util.BufferRecycler: java.util.concurrent.atomic.AtomicReferenceArray _charBuffers>
8880, com.fasterxml.jackson.core.util.BufferRecycler, char[] allocCharBuffer(int;int)_0, $stack7 = virtualinvoke $stack6.<java.util.concurrent.atomic.AtomicReferenceArray: java.lang.Object getAndSet(int;java.lang.Object)>(ix; null)
8881, com.fasterxml.jackson.core.util.BufferRecycler, char[] allocCharBuffer(int;int)_0, buffer = (char[]) $stack7
8889, com.fasterxml.jackson.core.util.TextBuffer, char[] emptyAndGetCurrentSegment()_0, this.<com.fasterxml.jackson.core.util.TextBuffer: char[] _currentSegment>_{8889} = Func_27_8889({minSize_{8878}})
14369, com.fasterxml.jackson.core.io.NumberInput, int parseInt(char[];int;int)_0, $stack4 = off + len
14370, com.fasterxml.jackson.core.io.NumberInput, int parseInt(char[];int;int)_0, $stack5 = $stack4 - 1
14371, com.fasterxml.jackson.core.io.NumberInput, int parseInt(char[];int;int)_0, $stack6 = ch[$stack5]
14372, com.fasterxml.jackson.core.io.NumberInput, int parseInt(char[];int;int)_0, num = $stack6 - 48
14373, com.fasterxml.jackson.core.io.NumberInput, int parseInt(char[];int;int)_0, tableswitch(len) {     case 2: goto $stack35 = ch[off];     case 3: goto $stack31 = off;     case 4: goto $stack27 = off;     case 5: goto $stack23 = off;     case 6: goto $stack19 = off;     case 7: goto $stack15 = off;     case 8: goto $stack11 = off;     case 9: goto $stack7 = off;     default: goto return num; }
14374, com.fasterxml.jackson.core.io.NumberInput, int parseInt(char[];int;int)_0, $stack7 = off
14375, com.fasterxml.jackson.core.io.NumberInput, int parseInt(char[];int;int)_0, off = off + 1
14376, com.fasterxml.jackson.core.io.NumberInput, int parseInt(char[];int;int)_0, $stack8 = ch[$stack7]
14377, com.fasterxml.jackson.core.io.NumberInput, int parseInt(char[];int;int)_0, $stack9 = $stack8 - 48
14378, com.fasterxml.jackson.core.io.NumberInput, int parseInt(char[];int;int)_0, $stack10 = $stack9 * 100000000
14379, com.fasterxml.jackson.core.io.NumberInput, int parseInt(char[];int;int)_0, num = num + $stack10
14380, com.fasterxml.jackson.core.io.NumberInput, int parseInt(char[];int;int)_0, $stack11 = off
14381, com.fasterxml.jackson.core.io.NumberInput, int parseInt(char[];int;int)_0, off = off + 1
14382, com.fasterxml.jackson.core.io.NumberInput, int parseInt(char[];int;int)_0, $stack12 = ch[$stack11]
14383, com.fasterxml.jackson.core.io.NumberInput, int parseInt(char[];int;int)_0, $stack13 = $stack12 - 48
14384, com.fasterxml.jackson.core.io.NumberInput, int parseInt(char[];int;int)_0, $stack14 = $stack13 * 10000000
14385, com.fasterxml.jackson.core.io.NumberInput, int parseInt(char[];int;int)_0, num = num + $stack14
14386, com.fasterxml.jackson.core.io.NumberInput, int parseInt(char[];int;int)_0, $stack15 = off
14387, com.fasterxml.jackson.core.io.NumberInput, int parseInt(char[];int;int)_0, off = off + 1
14388, com.fasterxml.jackson.core.io.NumberInput, int parseInt(char[];int;int)_0, $stack16 = ch[$stack15]
14389, com.fasterxml.jackson.core.io.NumberInput, int parseInt(char[];int;int)_0, $stack17 = $stack16 - 48
